created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-06-29 08:21:49 UTC,1,0,1,473,,,,
2020-06-29 08:22:05 UTC,2,0,1,472,,,,
2020-06-29 08:22:21 UTC,3,1,1,474,,,,
2020-06-29 08:22:36 UTC,4,0,1,473,,,,
2020-06-29 08:22:51 UTC,5,0,1,474,,,,
2020-06-29 08:23:06 UTC,6,0,1,476,,,,
2020-06-29 08:23:22 UTC,7,0,1,474,,,,
2020-06-29 08:23:37 UTC,8,0,1,473,,,,
2020-06-29 08:24:10 UTC,9,0,1,474,,,,
2020-06-29 08:24:25 UTC,10,1,1,490,,,,
2020-06-29 08:24:41 UTC,11,0,1,473,,,,
2020-06-29 08:24:57 UTC,12,0,1,474,,,,
2020-06-29 08:25:12 UTC,13,0,1,473,,,,
2020-06-29 08:25:42 UTC,14,0,1,473,,,,
2020-06-29 08:25:58 UTC,15,0,1,478,,,,
2020-06-29 08:26:13 UTC,16,0,1,474,,,,
2020-06-29 08:26:28 UTC,17,0,1,474,,,,
2020-06-29 08:26:44 UTC,18,0,1,473,,,,
2020-06-29 08:26:59 UTC,19,0,0,474,,,,
2020-06-29 08:27:14 UTC,20,1,0,476,,,,
2020-06-29 08:27:30 UTC,21,0,0,471,,,,
2020-06-29 08:27:46 UTC,22,0,0,470,,,,
2020-06-29 08:28:01 UTC,23,0,0,471,,,,
2020-06-29 08:28:16 UTC,24,0,0,471,,,,
2020-06-29 08:28:32 UTC,25,0,0,470,,,,
2020-06-29 08:29:45 UTC,26,0,1,471,,,,
2020-06-29 08:30:00 UTC,27,0,1,471,,,,
2020-06-29 08:30:36 UTC,28,0,1,471,,,,
2020-06-29 08:30:52 UTC,29,0,1,450,,,,
2020-06-29 08:31:08 UTC,30,1,1,471,,,,
2020-06-29 08:31:23 UTC,31,0,1,471,,,,
2020-06-29 08:31:38 UTC,32,0,1,471,,,,
2020-06-29 08:31:54 UTC,33,0,1,471,,,,
2020-06-29 08:32:09 UTC,34,1,1,495,,,,
2020-06-29 08:32:24 UTC,35,0,1,471,,,,
2020-06-29 08:32:39 UTC,36,0,1,471,,,,
2020-06-29 08:32:55 UTC,37,0,1,471,,,,
2020-06-29 08:33:11 UTC,38,0,0,471,,,,
2020-06-29 08:33:26 UTC,39,0,1,471,,,,
2020-06-29 08:33:41 UTC,40,0,1,452,,,,
2020-06-29 08:33:56 UTC,41,0,1,470,,,,
2020-06-29 08:34:12 UTC,42,1,1,519,,,,
2020-06-29 08:34:27 UTC,43,0,1,471,,,,
2020-06-29 08:34:42 UTC,44,0,1,471,,,,
2020-06-29 08:34:58 UTC,45,0,1,471,,,,
2020-06-29 08:35:13 UTC,46,0,1,456,,,,
2020-06-29 08:35:28 UTC,47,0,1,471,,,,
2020-06-29 08:35:44 UTC,48,0,1,471,,,,
2020-06-29 08:35:59 UTC,49,0,1,471,,,,
2020-06-29 08:36:14 UTC,50,0,1,471,,,,
2020-06-29 08:36:29 UTC,51,0,1,469,,,,
